datID,cohort,week,session,mouseID,expID,rawPath,firstTiff
87,coh1,w22,ses1_20211127,M11,OR,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M11/20211127/OR,M11_OR_00001_00001.tif
88,coh1,w22,ses1_20211127,M11,SF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M11/20211127/SF,M11_SF_00001_00001.tif
89,coh1,w22,ses1_20211127,M11,TF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M11/20211127/TF,M11_TF_00001_00001.tif
90,coh1,w22,ses1_20211127,M11,RF,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M11/20211127/RF,M11_RF_00001_00001.tif
91,coh1,w22,ses1_20211125,M12,contrast,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M12/20211125/Contrast,M12_contrast_00001_00001.tif
92,coh1,w22,ses2_20211203,M12,contrast,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M12/20211203_m12/Contrast,M12_contrast_00001_00001.tif
93,coh1,w22,ses1_20211125,M12,DR,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M12/20211125/DR,M12_DR_00001_00001.tif
94,coh1,w22,ses2_20211203,M12,DR,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M12/20211203_m12/DR,M12_DR_00001_00001.tif
95,coh1,w22,ses1_20211125,M12,OO,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M12/20211125/OO,M12_OO_00001_00001.tif
96,coh1,w22,ses1_20211125,M12,OR,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M12/20211125/OR,M12_OR_00001_00001.tif
